product_id,product_name,product_slug,old_thumbnail_id,old_thumbnail_title,old_score,new_thumbnail_id,new_thumbnail_title,new_score,second_score,margin,reasons
50649,Innisfree Tone Up Watering Sunscreen SPF50+ PA++++ 50ml,innisfree-tone-up-watering-sunscreen-spf50-pa-50ml,59038,Skinfood (15),0,50650,Innisfree Tone Up Watering Sunscreen SPF50+ PA++++ 50ml,0.877,0.209,0.668,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
51434,Jumiso All Day Pure C 5.5 Serum 30ml,jumiso-all-day-pure-c-5-5-serum-30ml,51435,thumb-ss_500x500,0,51437,jumiso-all-day-vitamin-pure-c-55-glow-serum-30ml-skin-care-jumiso-orion-xo-sri-lanka-897660,0.825,0.541,0.284,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
51704,Cosrx The Retinol 0.1 Cream,cosrx-the-retinol-0-1-cream,51881,ezgif.com-webp-to-jpg-38,0,51705,the-retinol-0-1-cream-cosrx-official-1,0.738,0.492,0.246,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
56155,Banila Co Clean It Zero Original Cleansing Balm 7ml,banila-co-clean-it-zero-original-cleansing-balm-7ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,56151,Banila-Co-Clean-It-Zero-Original-Cleansing-Balm-100ml,0.722,0.541,0.181,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
56155,Banila Co Clean It Zero Original Cleansing Balm 7ml,banila-co-clean-it-zero-original-cleansing-balm-7ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,56151,Banila-Co-Clean-It-Zero-Original-Cleansing-Balm-100ml,0.722,0.541,0.181,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
56155,Banila Co Clean It Zero Original Cleansing Balm 7ml,banila-co-clean-it-zero-original-cleansing-balm-7ml,56157,Untitled_d02187a8-1a10-49f2-a95d-ee8a8a6c97e4,0,56151,Banila-Co-Clean-It-Zero-Original-Cleansing-Balm-100ml,0.722,0.541,0.181,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
56319,HaruHaru Wonder Black Rice Moisture 5.5 Soft Cleansing Gel 100ml,haruharu-wonder-black-rice-moisture-deep-cleansing-oil-150ml,59502,jcNKEybBIP0AgVFagO380Yjz23yOCTHMnAQL5teX,0,56323,Haruharu-Wonder-Black-Rice-Moisture-Deep-Cleansing-Oil-150ml,0.797,0.485,0.312,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
57875,Melano CC Intensive Anti-Spot Essence Vitamin C Serum 20ml,melano-cc-intensive-anti-spot-essence-vitamin-c-serum-20ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,57876,Melano-CC-Intensive-Anti-Spot-Essence-Vitamin-C-Serum-20-ml-02,0.733,0.097,0.636,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
57875,Melano CC Intensive Anti-Spot Essence Vitamin C Serum 20ml,melano-cc-intensive-anti-spot-essence-vitamin-c-serum-20ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0,57876,Melano-CC-Intensive-Anti-Spot-Essence-Vitamin-C-Serum-20-ml-02,0.733,0.097,0.636,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
58363,ILLIYOON Ceramide Ato Concentrate Cream 30ml,illiyoon-ceramide-ato-concentrate-cream-30ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0.14,58364,illiyoon-ceramide-ato-concentrate-cream-30ml-500x500,0.87,0.14,0.73,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
58363,ILLIYOON Ceramide Ato Concentrate Cream 30ml,illiyoon-ceramide-ato-concentrate-cream-30ml,57481,emart-Illiyoon_CeramideAtoConcentrateCream_01,0.14,58364,illiyoon-ceramide-ato-concentrate-cream-30ml-500x500,0.87,0.14,0.73,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
58418,Lucido-L Argan Rich Oil Hair Treatment Mask 220g,lucido-l-argan-rich-oil-hair-treatment-mask-220g,58419,e5c3055768ed4b344e47b78e25abcf5d.jpg_720x720q80.jpg_,0,58420,Lucido-L_Argan_Rich_Oil_Hair_Treatment_Mask_220G__2,0.905,0.306,0.599,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
59223,APLB Collagen EGF Peptide E Beauty Tablet,aplb-collagen-egf-peptide-e-beauty-tablet,59233,WhatsApp Image 2025-05-24 at 1.50.07 PM,0,59225,APLB-Collagen-EGF-Peptide-E-Beauty-Tablet,0.785,0.602,0.183,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
59347,The Face Shop Jeju Aloe Fresh Soothing Foam Cleanser 150ml,the-face-shop-jeju-aloe-fresh-soothing-foam-cleanser-150ml,59348,61lf+6HI3nL._SL1500_,0,59349,The-Face-Shop-Jeju-Aloe-Fresh-Soothing-Foam-Cleanser-150-ml-2,0.732,,0.732,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
